lemma,tag,POS
dubito,1,VERB
vi,0,NOUN
vestis,1,NOUN
solum,1,NOUN
puto,1,VERB
multus,0,NOUN
libertas,1,NOUN
periculum,1,NOUN
vivus,0,ADJ
duo,0,VERB
tollo,1,VERB
evictio,1,NOUN
inquam,1,NOUN
perfero,1,VERB
flumen,1,NOUN
eripio,1,VERB
cesso,1,VERB
filius,1,NOUN
contesto,1,VERB
fio,1,VERB
vendo,1,VERB
res,1,NOUN
recito,1,VERB
portio,1,NOUN
mens,1,NOUN
absolvo,1,VERB
competo,1,VERB
nullus,1,NOUN
merx,1,NOUN
monumentum,1,NOUN
legao,0,VERB
ius,1,NOUN
auxilium,1,NOUN
rogo,1,VERB
indebitus,1,NOUN
lego,1,VERB
deceseo,0,VERB
coheres,1,NOUN
numerus,0,NOUN
latus,0,NOUN
tribuo,1,VERB
remoueo,1,VERB
imputo,1,VERB
paruus,0,NOUN
nihilum,0,NOUN
pignus,1,NOUN
servus,1,NOUN
redigo,1,VERB
edico,1,VERB
accido,0,VERB
occasio,0,NOUN
patronus,1,NOUN
secundus,0,ADJ
mensis,1,ADJ
debitor,1,VERB
rescriptum,1,NOUN
prior,0,VERB
perfidia,0,NOUN
noxalis,1,ADJ
abduco,1,VERB
tenebio,0,VERB
dolus,1,NOUN
impetro,1,VERB
alias,0,NOUN
praetor,1,VERB
emptio,1,NOUN
creditor,1,VERB
ignominia,1,NOUN
oppono,1,VERB
summa,0,NOUN
